"Please wait, you will be redirected to the payment form.", "Veuillez patienter, vous allez être redirigé vers le formulaire de paiement."
"or click here", "ou cliquez ici"
"Creating payment", "Création du paiement"
"IMPORTANT, this transaction is made with a payment in 3 installments", "NOTE IMPORTANTE, cette transaction a été réalisée via un paiement en 3 fois"
"We have received your order, we have just sent you a summary by email.", "Nous avons bien reçu votre commande, nous venons de vous envoyer un récapitulatif par mail."
"We are sorry we cannot record your order until we have received your payment.", "Nous n'avons pas reçu votre paiement, merci de refaire votre commande"
"Thank you !", "Merci"
"Sorry !", "Désolé"
